img,last_position,peak_position,rank,singer,title,weaks_on_charts
https://charts-static.billboard.com/img/2022/07/beyonce-0na-break-my-soul-7fc-180x180.jpg,72,6,72,Beyonce,Break My Soul,17
https://charts-static.billboard.com/img/2005/11/arctic-monkeys-a3g-106x106.jpg,73,73,73,Arctic Monkeys,I Wanna Be Yours,6
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,74,9,74,Bad Bunny & Jhay Cortez,Tarot,23
https://charts-static.billboard.com/img/2022/10/maneskin-ews-theloneliest-6wn-180x180.jpg,75,75,75,Maneskin,The Loneliest,1
https://charts-static.billboard.com/img/2020/03/yoasobi-i3g-180x180.jpg,76,76,76,YOASOBI,The Blessing,2
https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg,77,52,77,Imagine Dragons,Believer,110
https://charts-static.billboard.com/img/2022/05/burna-boy-8ej-last-last-t6t-180x180.jpg,78,39,78,Burna Boy,Last Last,19
https://charts-static.billboard.com/img/2022/08/newjeans-9dv-180x180.jpg,79,52,79,NewJeans,Hype Boy,10
https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg,80,68,80,Coldplay,Yellow,79
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,81,79,81,Oxlade,Ku Lo Sa,6
https://charts-static.billboard.com/img/2015/12/ruth-b-6pm-106x106.jpg,82,51,82,Ruth B.,Dandelions,39
https://charts-static.billboard.com/img/2021/07/farruko-lo8-pepas-ymw-180x180.jpg,83,7,83,Farruko,Pepas,65
https://charts-static.billboard.com/img/2011/02/ghost-1-lve-180x180.jpg,84,50,84,Ghost,Mary On A Cross,8
https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,85,16,85,Justin Bieber,Ghost,56
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,86,8,86,Bad Bunny & Rauw Alejandro,Party,23
https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg,87,24,87,Lewis Capaldi,Someone You Loved,110
https://charts-static.billboard.com/img/2022/06/marshmello-dhc-numb-wdt-180x180.jpg,88,66,88,Marshmello & Khalid,Numb,18
https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg,89,83,89,Sia,Unstoppable,35
https://charts-static.billboard.com/img/2011/10/lana-del-rey-45t-180x180.jpg,90,89,90,Lana Del Rey & Cedric Gervais,Summertime Sadness,13
https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg,91,38,91,Pinkfong,Baby Shark,109
https://charts-static.billboard.com/img/2021/10/adele-000-easy-on-me-03x-180x180.jpg,92,1,92,Adele,Easy On Me,53
https://charts-static.billboard.com/img/2022/03/camila-cabello-bvl-bam-bam-e5o-180x180.jpg,93,5,93,Camila Cabello Featuring Ed Sheeran,Bam Bam,32
https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg,94,55,94,Ed Sheeran,Shape Of You,110
https://charts-static.billboard.com/img/1997/04/twice-eu4-180x180.jpg,95,18,95,TWICE,Talk That Talk,7
https://charts-static.billboard.com/img/2021/08/lil-nas-x-qv4-industry-baby-bw6-180x180.jpg,96,2,96,Lil Nas X & Jack Harlow,Industry Baby,64
